Date;Receipt number;Receipt type;Total collected;Payment type;Store
31/12/2020 22.52;33-17494;Sale;0;Cash;Crisbar Unjani
31/12/2020 22.26;33-17493;Sale;4597500;Cash;Crisbar Unjani
31/12/2020 22.18;43-3047;Refund;-3400000;GO FOOD;Crisbar Unjani
31/12/2020 22.16;43-3046;Sale;3400000;GO FOOD;Crisbar Unjani
31/12/2020 22.15;43-3045;Sale;11030000;GO FOOD;Crisbar Unjani
31/12/2020 22.12;29-7955;Sale;1600000;Cash;Crisbar Sukajadi
31/12/2020 22.11;43-3044;Sale;3400000;GO FOOD;Crisbar Unjani
31/12/2020 22.03;43-3043;Sale;2800000;GRAB FOOD;Crisbar Unjani
31/12/2020 21.57;43-3042;Sale;10030000;GO FOOD;Crisbar Unjani
31/12/2020 21.55;44-1963;Sale;1850000;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.55;29-7954;Sale;6000000;GRAB FOOD;Crisbar Sukajadi
31/12/2020 21.55;27-8667;Sale;5250000;GRAB FOOD;Crisbar Antapani
31/12/2020 21.53;36-6449;Sale;3230000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.52;29-7953;Sale;3230000;GRAB FOOD;Crisbar Sukajadi
31/12/2020 21.52;33-17492;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.50;27-8666;Sale;6137000;GRAB FOOD;Crisbar Antapani
31/12/2020 21.50;36-6448;Sale;3754900;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.49;33-17491;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.49;44-1962;Sale;3633700;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.48;36-6447;Sale;2700000;GO FOOD;Crisbar Metro Margahayu
31/12/2020 21.48;33-17490;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.47;38-6016;Sale;4200000;Cash;Crisbar Metro Margahayu
31/12/2020 21.47;33-17489;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.47;33-17488;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.46;33-17487;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.46;19-39922;Sale;3380000;GO FOOD;Crisbar Sukapura
31/12/2020 21.46;23-15202;Sale;1900000;SHOPEE PAY;Crisbar Sukabirus
31/12/2020 21.45;44-1961;Sale;4130000;GO FOOD;Crisbar Cisitu
31/12/2020 21.45;33-17486;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.45;33-17485;Sale;0;Cash;Crisbar Unjani
31/12/2020 21.44;44-1960;Sale;2350000;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.43;36-6446;Sale;3553000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.42;44-1959;Sale;3150000;GO FOOD;Crisbar Cisitu
31/12/2020 21.41;19-39921;Refund;-1950000;GOPAY;Crisbar Sukapura
31/12/2020 21.36;19-39920;Sale;1950000;Cash;Crisbar Sukapura
31/12/2020 21.35;44-1958;Sale;4250000;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.35;23-15201;Sale;8400000;Cash;Crisbar Sukabirus
31/12/2020 21.34;43-3041;Sale;5975500;GRAB FOOD;Crisbar Unjani
31/12/2020 21.32;33-17484;Sale;1350000;Cash;Crisbar Unjani
31/12/2020 21.32;36-6445;Sale;4764200;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.31;19-39919;Sale;4650000;Cash;Crisbar Sukapura
31/12/2020 21.31;33-17483;Sale;2050000;Cash;Crisbar Unjani
31/12/2020 21.31;19-39918;Sale;1350000;Cash;Crisbar Sukapura
31/12/2020 21.30;33-17482;Sale;2050000;SHOPEE PAY;Crisbar Unjani
31/12/2020 21.30;19-39917;Sale;3700000;Cash;Crisbar Sukapura
31/12/2020 21.30;19-39916;Sale;11200000;Cash;Crisbar Sukapura
31/12/2020 21.29;19-39915;Sale;5250000;Cash;Crisbar Sukapura
31/12/2020 21.29;38-6015;Sale;2150000;Cash;Crisbar Metro Margahayu
31/12/2020 21.28;19-39914;Sale;0;Cash;Crisbar Sukapura
31/12/2020 21.28;19-39913;Sale;300000;Cash;Crisbar Sukapura
31/12/2020 21.27;19-39912;Sale;0;Cash;Crisbar Sukapura
31/12/2020 21.26;19-39911;Sale;7250000;Cash;Crisbar Sukapura
31/12/2020 21.25;44-1957;Sale;4000000;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.24;29-7952;Sale;1500000;Cash;Crisbar Sukajadi
31/12/2020 21.24;36-6444;Sale;5900000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.23;23-15200;Sale;2450000;GRAB FOOD;Crisbar Sukabirus
31/12/2020 21.22;43-3040;Sale;8900000;GO FOOD;Crisbar Unjani
31/12/2020 21.21;23-15199;Sale;2800000;GRAB FOOD;Crisbar Sukabirus
31/12/2020 21.20;44-1956;Sale;5248700;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.19;19-39910;Sale;5900000;GRAB FOOD;Crisbar Sukapura
31/12/2020 21.19;36-6443;Sale;1900000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 21.18;44-1955;Sale;3956700;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.17;19-39909;Sale;5975500;GRAB FOOD;Crisbar Sukapura
31/12/2020 21.17;44-1954;Sale;3593400;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.16;43-3039;Sale;3000000;GO FOOD;Crisbar Unjani
31/12/2020 21.14;27-8665;Sale;4000000;GRAB FOOD;Crisbar Antapani
31/12/2020 21.13;43-3038;Sale;2300000;GO FOOD;Crisbar Unjani
31/12/2020 21.12;27-8664;Sale;4764200;GRAB FOOD;Crisbar Antapani
31/12/2020 21.12;19-39908;Sale;4350000;GO FOOD;Crisbar Sukapura
31/12/2020 21.11;19-39907;Sale;12480000;GO FOOD;Crisbar Sukapura
31/12/2020 21.10;15-33957;Sale;3000000;GO FOOD;Crisbar Jatinangor
31/12/2020 21.09;19-39906;Sale;2900000;GO FOOD;Crisbar Sukapura
31/12/2020 21.08;44-1953;Sale;6880000;GO FOOD;Crisbar Cisitu
31/12/2020 21.07;19-39905;Sale;2650000;GOPAY;Crisbar Sukapura
31/12/2020 21.05;15-33956;Sale;2200000;GRAB FOOD;Crisbar Jatinangor
31/12/2020 21.05;19-39904;Sale;1900000;GOPAY;Crisbar Sukapura
31/12/2020 21.05;19-39903;Sale;4000000;GOPAY;Crisbar Sukapura
31/12/2020 21.05;27-8663;Sale;3230000;GRAB FOOD;Crisbar Antapani
31/12/2020 21.04;15-33955;Sale;2100000;GOPAY;Crisbar Jatinangor
31/12/2020 21.04;19-39902;Sale;1950000;GOPAY;Crisbar Sukapura
31/12/2020 21.03;43-3037;Sale;1600000;GO FOOD;Crisbar Unjani
31/12/2020 21.02;19-39901;Sale;2000000;SHOPEE PAY;Crisbar Sukapura
31/12/2020 21.01;15-33954;Sale;1900000;GRAB FOOD;Crisbar Jatinangor
31/12/2020 21.01;44-1952;Sale;8600000;GRAB FOOD;Crisbar Cisitu
31/12/2020 21.00;33-17481;Sale;2150000;Cash;Crisbar Unjani
31/12/2020 20.59;15-33953;Sale;3680000;GO FOOD;Crisbar Jatinangor
31/12/2020 20.58;43-3036;Sale;2500000;GO FOOD;Crisbar Unjani
31/12/2020 20.58;44-1951;Sale;3600000;GO FOOD;Crisbar Cisitu
31/12/2020 20.58;27-8662;Sale;8050000;GRAB FOOD;Crisbar Antapani
31/12/2020 20.56;44-1950;Sale;2400000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.54;23-15198;Sale;2450000;GO FOOD;Crisbar Sukabirus
31/12/2020 20.54;15-33952;Sale;4830000;GO FOOD;Crisbar Jatinangor
31/12/2020 20.54;43-3035;Sale;2750000;GO FOOD;Crisbar Unjani
31/12/2020 20.52;44-1949;Sale;3900000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.51;33-17480;Sale;4500000;Cash;Crisbar Unjani
31/12/2020 20.50;44-1948;Sale;5950000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.50;15-33951;Sale;2700000;Cash;Crisbar Jatinangor
31/12/2020 20.49;15-33950;Sale;1950000;Cash;Crisbar Jatinangor
31/12/2020 20.49;33-17479;Sale;4000000;SHOPEE PAY;Crisbar Unjani
31/12/2020 20.49;15-33949;Sale;5100000;Cash;Crisbar Jatinangor
31/12/2020 20.48;33-17478;Sale;2050000;Cash;Crisbar Unjani
31/12/2020 20.47;15-33948;Sale;3700000;Cash;Crisbar Jatinangor
31/12/2020 20.47;27-8661;Sale;6830000;GO FOOD;Crisbar Antapani
31/12/2020 20.47;44-1947;Sale;2150000;SHOPEE PAY;Crisbar Cisitu
31/12/2020 20.46;19-39900;Sale;1950000;GOPAY;Crisbar Sukapura
31/12/2020 20.45;27-8660;Sale;1800000;Cash;Crisbar Antapani
31/12/2020 20.44;44-1946;Sale;3230000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.44;15-33947;Sale;2450000;GRAB FOOD;Crisbar Jatinangor
31/12/2020 20.44;29-7951;Sale;4764200;GRAB FOOD;Crisbar Sukajadi
31/12/2020 20.42;27-8659;Sale;1850000;GRAB FOOD;Crisbar Antapani
31/12/2020 20.41;4-43902;Sale;4800000;Cash;Crisbar Cisitu
31/12/2020 20.41;23-15197;Sale;2800000;GRAB FOOD;Crisbar Sukabirus
31/12/2020 20.39;44-1945;Sale;7500000;GOPAY;Crisbar Cisitu
31/12/2020 20.38;23-15196;Sale;2000000;Cash;Crisbar Sukabirus
31/12/2020 20.35;29-7950;Sale;5900000;GRAB FOOD;Crisbar Sukajadi
31/12/2020 20.35;44-1944;Sale;2250000;GOPAY;Crisbar Cisitu
31/12/2020 20.35;4-43901;Sale;1950000;Cash;Crisbar Cisitu
31/12/2020 20.34;27-8658;Sale;6800000;GRAB FOOD;Crisbar Antapani
31/12/2020 20.33;44-1943;Sale;4481600;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.32;43-3034;Sale;3800000;GO FOOD;Crisbar Unjani
31/12/2020 20.31;36-6442;Sale;2700000;GO FOOD;Crisbar Metro Margahayu
31/12/2020 20.30;36-6441;Sale;3310700;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 20.29;44-1942;Sale;3230000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.29;15-33946;Sale;4000000;Cash;Crisbar Jatinangor
31/12/2020 20.27;19-39899;Sale;1850000;Cash;Crisbar Sukapura
31/12/2020 20.26;44-1941;Sale;4077900;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.26;15-33945;Sale;2700000;GO FOOD;Crisbar Jatinangor
31/12/2020 20.25;44-1940;Sale;5500000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.24;19-39898;Sale;1950000;Cash;Crisbar Sukapura
31/12/2020 20.24;15-33944;Sale;3800000;Cash;Crisbar Jatinangor
31/12/2020 20.22;19-39897;Sale;4350000;Cash;Crisbar Sukapura
31/12/2020 20.21;44-1939;Sale;1750000;SHOPEE PAY;Crisbar Cisitu
31/12/2020 20.21;15-33943;Sale;1750000;Cash;Crisbar Jatinangor
31/12/2020 20.21;33-17477;Sale;4800000;Cash;Crisbar Unjani
31/12/2020 20.21;44-1938;Sale;6050000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.20;33-17476;Sale;1750000;Cash;Crisbar Unjani
31/12/2020 20.18;33-17475;Sale;1950000;Cash;Crisbar Unjani
31/12/2020 20.18;44-1937;Sale;9600000;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.18;19-39896;Sale;2750000;Cash;Crisbar Sukapura
31/12/2020 20.16;33-17474;Sale;2000000;Cash;Crisbar Unjani
31/12/2020 20.15;19-39895;Sale;7800000;SHOPEE PAY;Crisbar Sukapura
31/12/2020 20.15;43-3033;Sale;5780000;GO FOOD;Crisbar Unjani
31/12/2020 20.15;44-1936;Sale;1750000;SHOPEE PAY;Crisbar Cisitu
31/12/2020 20.12;27-8657;Sale;7800000;GRAB FOOD;Crisbar Antapani
31/12/2020 20.12;44-1935;Sale;4925700;GRAB FOOD;Crisbar Cisitu
31/12/2020 20.11;15-33942;Sale;2100000;GO FOOD;Crisbar Jatinangor
31/12/2020 20.08;4-43900;Sale;4400000;Cash;Crisbar Cisitu
31/12/2020 20.07;44-1934;Sale;3200000;GOPAY;Crisbar Cisitu
31/12/2020 20.03;23-15195;Sale;2700000;Cash;Crisbar Sukabirus
31/12/2020 20.01;15-33941;Sale;1950000;Cash;Crisbar Jatinangor
31/12/2020 19.58;27-8656;Sale;2400000;GRAB FOOD;Crisbar Antapani
31/12/2020 19.57;15-33940;Sale;2050000;Cash;Crisbar Jatinangor
31/12/2020 19.57;44-1933;Sale;5369900;GRAB FOOD;Crisbar Cisitu
31/12/2020 19.53;33-17473;Sale;4400000;Cash;Crisbar Unjani
31/12/2020 19.52;38-6014;Sale;1950000;Cash;Crisbar Metro Margahayu
31/12/2020 19.51;44-1932;Sale;3270400;GRAB FOOD;Crisbar Cisitu
31/12/2020 19.51;38-6013;Sale;5550000;Cash;Crisbar Metro Margahayu
31/12/2020 19.49;29-7949;Sale;3391500;GRAB FOOD;Crisbar Sukajadi
31/12/2020 19.45;15-33939;Sale;2150000;Cash;Crisbar Jatinangor
31/12/2020 19.45;36-6440;Sale;3300000;GO FOOD;Crisbar Metro Margahayu
31/12/2020 19.44;38-6012;Sale;2700000;Cash;Crisbar Metro Margahayu
31/12/2020 19.44;15-33938;Sale;2350000;Cash;Crisbar Jatinangor
31/12/2020 19.42;15-33937;Sale;2000000;Cash;Crisbar Jatinangor
31/12/2020 19.41;38-6011;Sale;1350000;Cash;Crisbar Metro Margahayu
31/12/2020 19.41;44-1931;Sale;3230000;GRAB FOOD;Crisbar Cisitu
31/12/2020 19.40;38-6010;Sale;2050000;Cash;Crisbar Metro Margahayu
31/12/2020 19.39;44-1930;Sale;4100000;SHOPEE PAY;Crisbar Cisitu
31/12/2020 19.37;15-33936;Sale;6600000;GO FOOD;Crisbar Jatinangor
31/12/2020 19.36;36-6439;Sale;2700000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 19.36;38-6009;Sale;1200000;Cash;Crisbar Metro Margahayu
31/12/2020 19.35;38-6008;Sale;1950000;SHOPEE PAY;Crisbar Metro Margahayu
31/12/2020 19.31;33-17472;Sale;2800000;Cash;Crisbar Unjani
31/12/2020 19.30;36-6438;Sale;4600000;GRAB FOOD;Crisbar Metro Margahayu
31/12/2020 19.29;19-39894;Sale;4300000;Cash;Crisbar Sukapura
